Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status,Collection
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack","<div class=""a-expander-collapsed-height a-row a-expander-container a-spacing-medium a-expander-partial-collapse-container"" data-a-expander-collapsed-height=""400"" data-a-expander-name=""productFactsDesktopExpander"" id=""productFactsDesktopExpander"" style=""max-height:400px""> <div class=""a-expander-content a-expander-partial-collapse-content"" data-expanded=""false""> <h3 class=""product-facts-title""> Product details </h3> <!-- this uses AUI list/listitem elements in desktop --> <div class=""a-section"" role=""list""> <div class=""a-fixed-left-grid product-facts-detail""><div class=""a-fixed-left-grid-inner"" style=""padding-left:140px""> <div class=""a-fixed-left-grid-col a-col-left"" style=""width:140px;margin-left:-140px;float:left;""> <span style=""font-weight: 600;""> <span class=""a-color-base"">Fabric type</span> </span> </div> <div class=""a-fixed-left-grid-col a-col-right"" style=""padding-left:6%;float:left;""> <span style=""font-weight: 400;""> <span class=""a-color-base"">100% Cotton</span> </span> </div> </div></div> <div class=""a-fixed-left-grid product-facts-detail""><div class=""a-fixed-left-grid-inner"" style=""padding-left:140px""> <div class=""a-fixed-left-grid-col a-col-left"" style=""width:140px;margin-left:-140px;float:left;""> <span style=""font-weight: 600;""> <span class=""a-color-base"">Care instructions</span> </span> </div> <div class=""a-fixed-left-grid-col a-col-right"" style=""padding-left:6%;float:left;""> <span style=""font-weight: 400;""> <span class=""a-color-base"">Machine Wash</span> </span> </div> </div></div> <div class=""a-fixed-left-grid product-facts-detail""><div class=""a-fixed-left-grid-inner"" style=""padding-left:140px""> <div class=""a-fixed-left-grid-col a-col-left"" style=""width:140px;margin-left:-140px;float:left;""> <span style=""font-weight: 600;""> <span class=""a-color-base"">Origin</span> </span> </div> <div class=""a-fixed-left-grid-col a-col-right"" style=""padding-left:6%;float:left;""> <span style=""font-weight: 400;""> <span class=""a-color-base"">Imported</span> </span> </div> </div></div> <div class=""a-fixed-left-grid product-facts-detail""><div class=""a-fixed-left-grid-inner"" style=""padding-left:140px""> <div class=""a-fixed-left-grid-col a-col-left"" style=""width:140px;margin-left:-140px;float:left;""> <span style=""font-weight: 600;""> <span class=""a-color-base"">Closure type</span> </span> </div> <div class=""a-fixed-left-grid-col a-col-right"" style=""padding-left:6%;float:left;""> <span style=""font-weight: 400;""> <span class=""a-color-base"">Pull On</span> </span> </div> </div></div> </div> <!-- this is where AUI list/listitem elements in desktop ends --> <hr aria-hidden=""true"" class=""a-spacing-base a-spacing-top-base a-divider-normal""/> <h3 class=""product-facts-title""> About this item </h3> <ul class=""a-unordered-list a-vertical a-spacing-small""> <li><span class=""a-list-item a-size-base a-color-base"">THIS ITEM RUNS SMALL. Size up to ensure proper fit.</span></li> <li><span class=""a-list-item a-size-base a-color-base"">COMFORTABLE AND SOFT: Made of soft, lightweight 100% cotton jersey, these everyday must-have for layering under dress shirts offers maximum comfort and breathability.</span></li> <li><span class=""a-list-item a-size-base a-color-base"">SLIM FIT: adjusted ease on body featuring a ribbed crew neck collar.</span></li> <li><span class=""a-list-item a-size-base a-color-base"">LACOSTE'S SIGNATURE: Crocodile tag at the bottom of the garment</span></li> <li><span class=""a-list-item a-size-base a-color-base"">EASY CARE: They are machine washable and should be line dried, making them a practical choice for everyday wear while ensuring they retain their shape and comfort over time.</span></li> </ul> </div> <div class=""a-expander-header a-expander-partial-collapse-header"" id=""productFactsToggleButton""><div class=""a-expander-content-fade""></div><a aria-expanded=""false"" aria-hidden=""true"" class=""a-declarative"" data-a-expander-toggle=""{&quot;allowLinkDefault&quot;:true, &quot;expand_prompt&quot;:&quot;See more &lt;span class='aok-offscreen'&gt;About this item&lt;/span&gt;&quot;, &quot;collapse_prompt&quot;:&quot;See less &lt;span class='aok-offscreen'&gt;About this item&lt;/span&gt;&quot;}"" data-action=""a-expander-toggle"" href=""javascript:void(0)"" role=""button""><i class=""a-icon a-icon-extender-expand""></i><span class=""a-expander-prompt"">See more <span class=""aok-offscreen"">About this item</span></span></a></div> </div>",,,,TRUE,SIZE,X-Small,COLOUR,Black,,,B07SC7KTHV,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/51VErz0P5fL._AC_SL1500_.jpg,1,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,X-Small,COLOUR,White,,,B07SGXYVM1,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61qdwYi9q6L._AC_SL1204_.jpg,2,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Small,COLOUR,Black,,,B07SFFTGDJ,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61NJc4js8FL._AC_SL1500_.jpg,3,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,X-Small,COLOUR,White/Dove Grey/Black,,,B081BP6LRM,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/51pyCpckl8L._AC_SL1500_.jpg,4,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Small,COLOUR,White,,,B07SGXYVFT,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61dJEaEREDL._AC_SL1500_.jpg,5,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Medium,COLOUR,Black,,,B07SB56C5W,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/51VErz0P5fL._AC_SL1500_.jpg,6,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Small,COLOUR,White/Dove Grey/Black,,,B081BP8GGQ,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61qdwYi9q6L._AC_SL1204_.jpg,7,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Medium,COLOUR,White,,,B07SFW4S9B,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61NJc4js8FL._AC_SL1500_.jpg,8,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Large,COLOUR,Black,,,B07SDD3YDJ,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/51pyCpckl8L._AC_SL1500_.jpg,9,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Medium,COLOUR,White/Dove Grey/Black,,,B081BP4FQ7,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61dJEaEREDL._AC_SL1500_.jpg,10,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Large,COLOUR,White,,,B07SFVSGSZ,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/41d0jjjpJLL._AC_SL1500_.jpg,11,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,X-Large,COLOUR,Black,,,B07SB561NH,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61LS5rCHveL._AC_SL1500_.jpg,12,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,Large,COLOUR,White/Dove Grey/Black,,,B081BP62Y2,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/61vM6sAuB+L._AC_SL1500_.jpg,13,,FALSE,,,,,,,,,,,,,,,,,,,,active,
Lacoste-Cotton-Regular-T-Shirt-3-Pack-B0DJWRT2V7,"Lacoste Men's 100% Cotton Regular Fit Crew Neck Undershirt, 3-Pack",,,,,TRUE,SIZE,X-Large,COLOUR,White,,,B07SGXWJXV,0,shopify,100,deny,manual,25.07,25.07,TRUE,TRUE,,https://m.media-amazon.com/images/I/51Uf27LbkdL._AC_SL1500_.jpg,14,,FALSE,,,,,,,,,,,,,,,,,,,,active,
